-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Latitude  28.7041   Longitude 77.1025 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN               MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M_MAX,T2M_MIN,QV2M,RH2M,PS,WS10M_MAX,WS10M_MIN
2023,6,4,4.63,1.8,3.24,0.41,434.99,90.12,131.77,11.44,0.32,1.65,34.16,25.48,10.8,45.44,97.88,4.8,0.53
2023,6,5,6.96,5.76,2.58,0.62,430.98,131.37,136.48,16.29,0.45,2.41,39.4,25.49,11.84,41.19,97.7,5.5,2.41
2023,6,6,7.3,6.59,2.27,0.65,442.23,139.75,143.64,17.75,0.51,2.69,40.15,26.37,11.54,38.75,97.67,3.74,0.22
2023,6,7,7.05,5.74,2.57,0.62,442.59,133.93,139.01,16.76,0.46,2.41,39.85,27.44,11.35,37.88,97.65,3.7,0.45
2023,6,8,7.41,6.68,2.22,0.66,441.99,142.38,144.98,18.12,0.5,2.62,41.16,25.1,11.66,37.5,97.61,6.02,2.27
2023,6,9,7.17,5.89,2.53,0.63,451.68,137.48,140.34,17.27,0.49,2.63,42.01,27.86,12.88,37.88,97.33,5.91,1.64
2023,6,10,7.0,5.73,2.6,0.62,462.66,136.7,144.28,17.48,0.49,2.62,42.28,29.37,14.83,42.38,97.21,6.51,1.59
2023,6,11,7.17,5.72,2.62,0.63,453.12,139.11,140.72,17.53,0.5,2.63,40.94,28.94,14.59,41.88,97.22,7.14,2.62
2023,6,12,6.91,5.07,2.86,0.61,459.47,132.1,134.92,16.34,0.47,2.5,42.37,29.05,14.22,39.25,97.16,8.39,1.88
2023,6,13,7.53,6.55,2.41,0.66,463.41,144.84,146.78,18.49,0.53,2.81,43.51,30.62,14.04,36.25,97.17,8.93,3.2
2023,6,14,7.46,6.42,2.47,0.66,454.3,144.38,148.75,18.58,0.54,2.85,42.73,29.87,13.49,35.69,97.25,10.3,5.03
2023,6,15,6.57,4.5,3.11,0.58,451.33,129.17,146.4,16.8,0.46,2.41,39.33,30.9,14.34,39.94,97.39,8.81,2.03
2023,6,16,5.82,3.86,2.85,0.52,454.54,115.47,143.34,15.17,0.43,2.23,39.49,29.24,15.62,44.62,97.38,5.83,0.84
2023,6,17,5.88,3.01,3.49,0.52,459.71,117.3,145.47,15.58,0.45,2.36,38.94,29.37,15.62,47.12,97.4,5.62,0.59
2023,6,18,6.07,3.97,2.88,0.53,459.83,120.23,140.77,15.7,0.45,2.39,38.44,28.17,16.66,52.0,97.32,5.44,0.54
2023,6,19,3.42,1.36,2.36,0.3,457.43,71.03,141.2,10.04,0.31,1.6,36.05,29.5,17.4,54.94,97.22,7.83,1.79
2023,6,20,6.27,4.23,2.94,0.55,455.08,123.6,137.09,15.82,0.47,2.49,39.19,29.0,17.21,52.0,97.26,4.77,1.49
2023,6,21,5.28,3.12,2.86,0.47,459.56,104.45,132.7,13.07,0.38,2.0,39.42,28.73,17.09,51.19,97.36,3.92,1.4
2023,6,22,5.28,2.71,3.07,0.47,459.73,102.5,122.79,12.43,0.37,1.95,39.19,30.11,18.98,54.81,97.37,5.29,1.58
2023,6,23,4.4,1.46,3.31,0.39,465.73,85.82,116.67,10.02,0.29,1.48,39.5,31.61,19.78,54.81,97.33,3.59,0.33
2023,6,24,3.23,1.1,2.44,0.28,465.62,64.74,118.05,7.77,0.22,1.13,39.22,29.12,20.75,62.69,97.28,4.3,0.31
2023,6,25,1.77,0.68,1.33,0.16,451.12,36.98,121.97,4.69,0.12,0.66,35.2,28.28,20.14,71.0,97.39,3.8,2.08
2023,6,26,3.92,1.4,2.86,0.34,448.7,76.71,119.05,9.33,0.27,1.41,36.73,26.76,18.37,63.88,97.45,4.66,1.21
2023,6,27,4.77,2.06,3.16,0.42,447.68,92.58,121.22,11.33,0.33,1.73,36.33,26.77,18.19,61.5,97.36,3.12,0.4
2023,6,28,5.0,2.66,2.82,0.45,449.38,99.28,133.59,13.12,0.41,2.17,36.32,28.46,19.04,62.38,97.48,6.16,2.21
2023,6,29,4.5,2.36,2.71,0.4,447.82,91.5,137.44,12.38,0.38,2.03,35.44,27.26,19.35,67.38,97.4,5.35,2.43
2023,6,30,4.44,1.77,3.04,0.39,445.47,87.61,123.01,11.3,0.35,1.84,34.35,27.01,19.96,71.62,97.25,3.88,1.88
2023,7,1,4.83,2.42,2.92,0.43,443.59,91.47,110.26,10.72,0.31,1.65,36.92,25.86,17.76,62.69,97.36,3.7,0.87
2023,7,2,5.48,2.87,3.24,0.48,449.46,104.38,119.98,12.48,0.37,1.95,38.57,26.58,18.13,58.31,97.38,3.86,0.77
2023,7,3,6.01,3.6,3.15,0.53,450.16,114.18,121.38,13.82,0.41,2.2,40.04,28.78,17.82,52.12,97.32,3.62,0.25
2023,7,4,4.12,1.78,2.7,0.37,453.18,80.48,115.51,9.73,0.29,1.52,40.69,29.38,18.86,55.31,97.17,3.25,1.61
2023,7,5,4.67,1.63,3.42,0.41,442.37,87.36,107.69,9.93,0.29,1.52,37.33,28.5,19.71,63.81,97.14,5.26,0.79
2023,7,6,3.26,1.09,2.49,0.29,443.02,64.99,116.16,8.16,0.23,1.23,34.19,27.56,20.63,75.94,97.4,4.65,2.48
2023,7,7,4.09,1.57,2.92,0.36,442.55,77.24,104.08,9.26,0.27,1.4,34.69,26.73,19.84,72.56,97.49,4.17,2.09
2023,7,8,2.01,0.72,1.51,0.18,447.42,42.57,124.3,6.02,0.18,0.95,34.3,27.35,20.94,77.0,97.43,5.41,2.3
2023,7,9,2.49,0.93,1.78,0.22,449.2,52.8,133.33,7.66,0.26,1.37,33.95,26.47,21.73,80.81,97.43,4.26,0.21
2023,7,10,3.47,1.28,2.48,0.3,452.09,71.41,130.82,9.96,0.32,1.66,34.23,26.88,21.73,80.38,97.4,3.16,0.23
2023,7,11,3.6,1.37,2.61,0.32,448.39,73.83,134.62,10.06,0.3,1.6,33.92,26.71,21.85,78.88,97.44,3.23,0.64
2023,7,12,4.42,1.76,3.13,0.39,450.65,88.66,128.23,11.7,0.37,1.91,34.02,26.62,21.3,77.12,97.38,1.94,0.57
2023,7,13,4.54,2.11,2.94,0.41,445.56,87.89,117.84,11.07,0.34,1.79,34.08,26.61,21.12,77.0,97.39,3.27,0.55
2023,7,14,3.82,1.32,2.86,0.34,448.62,73.01,108.19,8.7,0.26,1.34,32.92,26.22,21.18,81.38,97.53,3.14,0.65
2023,7,15,3.23,1.13,2.45,0.29,452.39,65.84,121.41,8.37,0.24,1.27,33.11,26.42,21.0,80.25,97.5,3.37,0.86
2023,7,16,4.84,2.52,2.85,0.43,454.87,94.59,119.74,12.02,0.38,2.03,33.81,26.2,21.97,81.31,97.46,2.88,1.08
2023,7,17,4.26,1.58,3.11,0.38,449.59,84.58,122.89,11.08,0.34,1.8,34.12,27.24,22.09,78.94,97.36,2.26,0.49
2023,7,18,2.79,0.98,2.1,0.25,449.18,58.34,126.56,8.05,0.25,1.31,32.61,27.25,22.64,84.5,97.32,4.22,0.49
2023,7,19,5.63,3.5,3.0,0.51,448.12,111.08,131.7,14.48,0.46,2.46,32.72,26.28,21.42,80.94,97.35,5.56,2.11
2023,7,20,6.61,5.43,2.5,0.59,456.42,130.34,138.08,16.8,0.52,2.84,36.11,26.34,21.85,74.5,97.33,3.53,0.95
2023,7,21,4.84,2.83,2.71,0.44,453.81,96.16,130.77,12.62,0.4,2.12,35.7,27.78,22.09,75.69,97.5,4.7,1.2
2023,7,22,5.39,3.19,3.21,0.48,444.0,106.84,133.05,13.89,0.44,2.36,34.29,26.76,21.55,77.88,97.72,6.66,2.59
2023,7,23,6.0,3.68,3.25,0.54,440.47,118.68,135.6,15.41,0.51,2.74,33.15,26.61,21.18,78.88,97.71,6.66,2.09
2023,7,24,6.36,5.02,2.59,0.58,443.44,125.8,138.79,16.41,0.54,2.96,35.58,26.14,20.87,74.75,97.49,5.09,2.38
2023,7,25,4.97,1.77,3.62,0.45,444.95,99.43,133.12,13.14,0.43,2.3,32.9,27.45,22.58,81.88,97.51,3.0,1.14
2023,7,26,2.22,1.03,1.61,0.2,439.92,45.95,130.27,6.22,0.19,0.98,33.65,26.71,21.55,78.38,97.67,4.39,0.7
2023,7,27,5.06,2.34,3.21,0.46,446.92,98.22,120.33,12.54,0.4,2.14,32.34,26.37,22.03,85.44,97.59,3.06,1.12
2023,7,28,3.84,1.46,2.77,0.35,446.45,76.98,124.58,10.37,0.33,1.76,32.87,26.58,21.48,81.94,97.37,1.74,0.17
2023,7,29,4.35,1.8,3.04,0.4,444.08,90.13,143.59,12.72,0.42,2.27,34.15,26.57,22.4,83.69,97.3,3.12,0.65
2023,7,30,5.8,3.98,2.78,0.53,440.32,113.98,131.24,14.71,0.48,2.62,33.6,26.19,22.16,82.69,97.22,3.84,1.78
2023,7,31,5.57,3.31,3.04,0.51,443.37,109.15,126.84,13.92,0.45,2.43,33.91,26.55,21.55,78.38,97.17,4.01,1.64
2023,8,1,6.3,4.61,2.74,0.58,442.02,121.47,123.49,14.98,0.47,2.57,35.42,26.32,21.55,76.19,97.11,4.55,2.28
2023,8,2,4.77,2.05,3.25,0.44,445.02,94.0,121.49,11.61,0.37,1.95,34.57,27.35,21.91,77.12,97.18,5.75,1.59
2023,8,3,4.99,2.63,3.0,0.46,448.0,97.06,120.42,12.27,0.38,2.05,33.68,26.99,22.03,78.88,97.21,3.63,1.06
2023,8,4,3.17,1.18,2.33,0.29,448.87,63.52,118.23,8.3,0.27,1.39,33.62,26.97,22.83,83.0,97.39,3.23,1.07
2023,8,5,3.79,1.44,2.71,0.35,448.08,76.59,121.3,10.05,0.32,1.71,30.92,27.24,21.91,84.44,97.55,5.61,1.09
2023,8,6,5.49,2.48,3.56,0.51,444.17,106.03,119.65,13.01,0.41,2.17,35.19,25.73,20.87,77.19,97.26,5.7,2.62
2023,8,7,4.77,2.35,3.09,0.45,439.99,92.8,118.35,11.26,0.34,1.81,34.05,26.37,20.81,77.94,97.04,7.89,2.07
2023,8,8,4.77,1.75,3.48,0.45,435.67,90.1,110.23,10.41,0.32,1.7,34.05,25.73,21.0,78.56,97.18,7.34,2.2
2023,8,9,4.51,1.61,3.33,0.42,440.52,85.28,107.85,9.88,0.3,1.59,34.39,25.75,20.57,75.94,97.53,6.05,1.66
2023,8,10,4.81,1.92,3.37,0.45,446.47,94.1,116.59,11.49,0.37,1.95,33.96,26.0,20.26,75.06,97.7,5.21,0.15
2023,8,11,5.53,2.98,3.25,0.52,448.61,108.24,119.77,13.34,0.42,2.3,34.69,26.04,19.96,72.94,97.7,4.08,0.93
2023,8,12,6.27,4.66,2.7,0.59,440.31,123.33,128.76,15.6,0.51,2.8,35.02,25.44,19.1,71.5,97.49,6.06,2.2
2023,8,13,4.49,1.7,3.27,0.42,439.05,89.45,124.81,11.4,0.37,1.95,35.18,25.48,19.71,72.5,97.28,6.23,2.23
2023,8,14,4.57,1.63,3.38,0.43,434.75,90.55,125.16,11.6,0.37,1.94,31.73,25.74,18.92,76.25,97.65,4.48,2.27
2023,8,15,4.51,2.25,2.8,0.43,443.28,88.78,120.36,11.4,0.36,1.92,33.57,25.67,19.35,72.81,97.69,2.46,0.9
2023,8,16,5.12,3.02,2.81,0.48,442.31,98.51,116.23,12.26,0.37,1.95,35.04,25.78,19.9,72.44,97.71,4.84,1.41
2023,8,17,5.98,3.63,3.09,0.57,443.27,116.68,123.58,14.6,0.44,2.38,36.05,26.66,19.78,69.75,97.65,6.77,1.83
2023,8,18,5.77,3.57,3.03,0.55,438.34,111.16,117.27,13.54,0.4,2.12,36.14,26.57,19.96,70.56,97.65,4.67,1.88
2023,8,19,3.97,1.93,2.51,0.38,444.54,79.83,120.44,10.47,0.33,1.74,33.17,27.3,21.85,79.62,97.65,4.02,1.03
2023,8,20,6.0,4.43,2.67,0.58,446.85,117.43,124.85,14.96,0.47,2.54,35.33,26.9,21.24,74.06,97.66,4.55,0.93
2023,8,21,5.64,3.76,2.71,0.54,450.14,111.16,125.41,14.43,0.45,2.43,36.02,27.31,20.26,69.0,97.58,3.55,0.33
2023,8,22,3.16,1.1,2.4,0.3,451.09,64.74,120.45,8.54,0.27,1.37,36.3,27.55,21.61,74.81,97.39,3.55,1.21
2023,8,23,0.88,0.38,0.65,0.09,441.22,19.89,124.88,2.84,0.09,0.45,33.22,26.54,21.06,80.06,97.32,5.69,1.91
2023,8,24,4.78,1.66,3.54,0.46,433.95,94.1,122.4,11.86,0.38,1.95,34.11,25.02,19.04,73.62,97.24,5.62,1.95
2023,8,25,5.49,3.34,2.97,0.54,434.59,105.44,113.89,12.88,0.39,2.14,35.49,24.98,18.49,70.62,97.28,5.61,1.98
2023,8,26,5.68,3.56,2.97,0.55,437.7,109.23,113.34,13.31,0.41,2.27,35.01,25.18,18.01,68.19,97.46,5.56,2.7
2023,8,27,5.66,3.46,2.99,0.55,433.3,106.77,109.59,12.81,0.4,2.19,35.85,24.65,17.46,66.31,97.46,6.02,2.51
2023,8,28,5.78,3.97,2.82,0.57,432.37,110.23,112.92,13.34,0.4,2.17,35.5,25.71,18.43,67.5,97.46,6.15,0.72
2023,8,29,6.03,4.45,2.7,0.59,429.48,115.26,117.52,14.16,0.43,2.36,35.54,25.03,18.37,68.31,97.68,6.52,1.32
2023,8,30,6.1,4.69,2.6,0.6,433.88,116.48,117.93,14.28,0.44,2.42,36.59,25.26,17.94,67.25,97.85,4.78,1.27
2023,8,31,6.09,5.07,2.45,0.61,430.8,116.62,120.85,14.46,0.45,2.48,37.45,24.55,17.76,66.69,97.91,4.24,0.66
2023,9,1,6.04,4.69,2.58,0.6,433.45,116.36,118.76,14.39,0.45,2.44,37.94,25.15,16.78,62.06,97.9,5.34,0.69
2023,9,2,6.43,5.94,2.14,0.64,414.73,123.2,123.17,15.4,0.48,2.61,37.55,24.44,15.32,58.81,97.8,6.12,1.52
2023,9,3,6.61,6.51,1.97,0.66,409.27,126.82,126.66,15.99,0.49,2.71,37.85,23.19,14.4,56.19,97.68,5.18,1.26
2023,9,4,6.49,6.17,2.08,0.66,414.04,124.41,124.45,15.62,0.48,2.66,37.87,24.22,15.5,58.44,97.61,5.02,1.55
2023,9,5,6.21,5.73,2.09,0.63,425.35,119.03,120.17,14.85,0.45,2.38,37.73,24.09,17.46,64.94,97.72,4.27,1.63
2023,9,6,4.16,1.83,2.88,0.42,439.12,82.02,115.48,10.83,0.33,1.69,37.39,25.06,17.4,63.81,97.83,4.02,1.13
2023,9,7,5.63,4.46,2.27,0.58,435.18,109.57,119.63,14.15,0.44,2.36,38.32,26.02,16.48,58.88,97.76,3.88,1.02
2023,9,8,5.17,3.21,2.91,0.53,434.69,100.41,113.77,12.91,0.38,1.98,35.73,24.68,16.91,64.5,97.76,4.03,1.17
2023,9,9,3.19,1.07,2.42,0.33,440.74,65.59,115.98,9.16,0.3,1.52,32.67,25.18,19.59,80.31,97.74,5.45,2.16
2023,9,10,2.69,1.07,1.97,0.28,445.8,56.29,120.48,8.09,0.27,1.36,32.83,24.51,20.45,85.62,97.51,4.34,2.63
2023,9,11,4.48,2.77,2.57,0.47,436.05,88.9,120.66,11.94,0.38,1.98,33.7,24.45,19.1,77.75,97.56,4.41,1.64
2023,9,12,4.75,3.18,2.49,0.49,438.8,93.48,114.25,12.24,0.38,1.98,35.08,24.44,18.74,73.0,97.61,3.78,1.41
2023,9,13,4.54,2.54,2.79,0.48,436.88,85.18,96.58,10.47,0.3,1.55,35.04,25.79,19.96,74.69,97.6,3.16,1.07
2023,9,14,4.99,3.4,2.58,0.52,437.8,95.59,104.33,11.87,0.34,1.79,35.08,26.55,20.69,75.75,97.71,3.45,1.17
2023,9,15,3.87,1.78,2.68,0.41,435.19,77.02,111.97,10.22,0.31,1.64,34.34,26.19,20.81,78.06,97.81,5.04,1.37
2023,9,16,2.98,1.14,2.17,0.32,438.39,60.54,115.46,8.52,0.28,1.46,31.32,25.26,19.1,81.06,97.81,8.12,2.15
2023,9,17,3.98,2.2,2.42,0.42,435.16,78.15,108.16,10.33,0.33,1.73,30.52,25.1,20.02,85.94,97.6,7.23,4.16
2023,9,18,5.54,5.11,2.19,0.59,431.91,110.31,122.9,14.56,0.45,2.41,32.65,24.62,18.62,78.38,97.63,8.42,4.08
2023,9,19,5.83,5.79,2.0,0.63,428.76,114.9,119.96,14.8,0.45,2.4,34.51,24.51,18.86,73.5,97.93,5.44,2.11
2023,9,20,5.64,5.03,2.24,0.61,430.68,109.3,113.19,13.96,0.42,2.25,35.53,25.36,18.86,70.0,97.96,2.54,0.72
2023,9,21,4.94,3.77,2.31,0.54,440.25,95.6,110.31,12.35,0.38,2.01,36.2,25.93,19.1,68.94,97.87,2.34,0.85
2023,9,22,5.08,3.64,2.66,0.55,430.57,96.55,103.23,12.05,0.35,1.88,35.74,25.94,18.8,69.19,97.89,2.85,1.47
2023,9,23,3.98,2.17,2.54,0.44,430.52,76.77,99.15,9.8,0.29,1.51,35.5,25.83,18.92,71.06,97.91,3.1,1.1
2023,9,24,4.26,2.31,2.67,0.47,425.98,81.7,103.73,10.62,0.32,1.7,36.01,24.51,17.88,69.81,97.91,2.55,0.45
2023,9,25,5.46,4.68,2.29,0.61,417.37,104.05,105.84,13.01,0.38,2.03,34.44,24.6,17.21,67.38,97.96,3.02,0.95
2023,9,26,5.3,4.2,2.46,0.59,412.02,98.68,101.84,12.12,0.35,1.9,35.96,23.54,15.75,63.75,98.06,3.01,1.16
2023,9,27,5.65,5.56,2.02,0.63,395.7,105.27,105.24,12.91,0.37,1.95,35.79,23.12,13.98,61.0,98.06,3.2,1.54
2023,9,28,5.87,6.17,1.82,0.66,371.48,106.95,106.93,13.12,0.38,2.01,36.04,20.78,12.39,59.25,98.03,4.06,1.34
2023,9,29,5.78,6.19,1.78,0.66,375.21,106.2,106.5,12.98,0.38,2.0,35.73,21.15,11.47,53.62,98.01,3.69,0.19
2023,9,30,5.7,6.17,1.72,0.65,378.2,105.67,105.53,12.92,0.38,2.05,36.54,20.57,10.93,50.38,98.01,4.63,0.95
2023,10,1,5.46,5.29,2.04,0.62,374.02,99.55,101.67,12.06,0.35,1.88,36.86,19.09,10.13,50.5,97.95,4.35,1.99
2023,10,2,5.77,6.17,1.77,0.67,348.86,103.65,104.04,12.61,0.37,1.96,36.73,19.31,9.4,48.31,98.05,4.59,2.04
2023,10,3,5.83,6.67,1.56,0.68,351.08,105.37,105.35,12.83,0.36,1.94,35.86,19.94,8.06,40.88,98.11,5.96,1.02
2023,10,4,5.79,6.79,1.49,0.68,355.95,104.77,104.52,12.74,0.36,1.91,36.02,18.48,9.46,48.69,98.11,6.52,1.54
2023,10,5,5.68,6.53,1.57,0.67,360.5,103.8,103.94,12.65,0.35,-999.0,36.86,20.48,9.95,48.81,98.04,4.8,0.3
2023,10,6,5.7,6.64,1.49,0.68,371.69,107.14,107.06,13.27,0.38,1.99,37.63,18.43,9.83,49.31,97.96,3.98,0.59
2023,10,7,5.54,6.21,1.62,0.66,386.93,104.05,103.92,12.79,0.35,1.88,37.37,20.23,11.72,52.88,98.07,3.53,1.51
2023,10,8,5.44,5.99,1.68,0.66,402.12,103.23,103.05,12.7,0.34,1.83,37.8,21.9,12.76,52.94,98.11,3.62,0.84
2023,10,9,5.35,5.69,1.76,0.65,403.47,100.7,101.5,12.38,0.34,1.75,37.63,22.48,13.92,56.0,98.17,4.16,1.31
2023,10,10,5.34,6.22,1.52,0.65,400.62,101.57,103.08,12.54,0.34,1.73,36.21,23.05,13.0,54.25,98.28,2.84,0.48
2023,10,11,5.48,6.45,1.52,0.67,367.17,100.31,100.45,12.23,0.32,-999.0,36.04,19.98,10.56,52.31,98.37,4.12,2.19
2023,10,12,5.37,6.31,1.58,0.66,361.38,98.04,98.4,11.87,0.31,-999.0,35.83,20.45,9.52,47.75,98.48,3.01,0.56
2023,10,13,5.14,5.55,1.69,0.63,371.88,93.24,93.24,11.15,0.29,1.48,37.12,20.08,9.7,46.31,98.54,2.76,1.38
2023,10,14,4.98,5.26,1.79,0.62,383.73,92.1,93.38,11.09,0.28,1.48,36.35,21.33,10.19,46.75,98.48,2.91,0.99
2023,10,15,4.56,3.57,2.24,0.57,393.72,84.05,86.62,10.03,0.25,1.31,34.87,20.59,10.8,49.56,98.27,2.56,0.93
2023,10,16,3.49,1.71,2.45,0.44,400.39,65.2,78.94,7.75,0.19,0.98,28.21,21.17,12.7,66.25,98.45,4.2,1.38
2023,10,17,2.88,1.03,2.23,0.37,392.46,54.93,81.34,6.77,0.17,0.91,29.27,19.2,11.6,64.25,98.75,7.27,0.91
2023,10,18,4.92,5.18,1.77,0.63,348.47,89.56,89.9,10.77,0.27,-999.0,31.58,19.08,10.01,57.94,98.84,4.56,2.79
2023,10,19,5.15,6.0,1.58,0.66,338.09,93.78,93.83,11.35,0.29,-999.0,31.18,16.82,9.52,56.06,98.78,3.67,1.88
2023,10,20,4.94,5.46,1.69,0.64,348.84,89.69,89.6,10.73,0.26,1.33,31.9,17.06,9.4,54.75,98.85,2.85,0.77
2023,10,21,4.76,4.86,1.81,0.62,359.38,86.0,86.37,10.23,0.24,1.26,31.6,16.66,8.79,51.88,98.89,2.95,0.26
2023,10,22,4.38,3.68,2.07,0.58,368.52,80.37,82.07,9.52,0.23,1.17,31.97,18.04,8.67,49.25,98.88,3.59,0.73
2023,10,23,4.43,3.79,2.1,0.59,358.75,79.3,80.6,9.27,0.21,1.08,31.37,17.2,9.64,56.12,98.79,3.43,1.7
2023,10,24,4.46,4.31,1.89,0.59,353.5,79.92,79.98,9.31,0.22,1.12,31.88,18.06,9.83,55.19,98.7,3.39,1.45
2023,10,25,4.48,4.35,1.88,0.6,347.95,79.79,79.93,9.33,0.22,1.12,32.47,17.55,9.28,53.44,98.78,4.41,2.08
2023,10,26,4.78,5.38,1.65,0.65,339.23,84.4,84.36,9.98,0.24,1.26,32.37,16.23,8.42,51.38,98.75,3.45,2.22
2023,10,27,4.65,5.38,1.61,0.63,338.46,83.32,84.29,9.89,0.24,-999.0,32.85,17.29,7.14,41.0,98.65,3.2,1.38
2023,10,28,4.03,2.91,2.28,0.55,353.58,72.53,78.53,8.62,0.23,1.22,30.74,19.07,8.12,44.25,98.69,2.88,1.33
2023,10,29,4.23,4.14,1.79,0.59,363.45,75.98,76.13,8.88,0.22,1.12,33.7,19.25,8.24,43.88,98.68,3.02,0.8
2023,10,30,4.13,3.82,1.88,0.57,369.03,73.59,74.0,8.57,0.2,1.05,33.73,17.98,8.79,48.81,98.74,3.59,0.73
2023,10,31,3.66,2.55,2.17,0.51,370.93,63.72,66.55,7.12,0.16,0.87,32.62,18.6,9.22,51.19,98.89,3.06,0.91
2023,11,1,3.93,3.65,1.77,0.55,367.62,68.46,69.34,7.8,0.18,-999.0,32.65,18.93,8.42,46.06,98.92,2.66,1.5
2023,11,2,3.5,2.42,2.13,0.49,371.13,60.71,65.06,6.72,0.16,0.84,31.84,18.61,8.48,47.75,98.76,2.66,0.87
2023,11,3,3.15,2.02,1.98,0.45,369.8,52.51,55.08,5.5,0.12,0.62,30.69,19.26,9.22,50.38,98.54,3.12,0.22
2023,11,4,2.83,1.51,1.97,0.41,378.11,47.93,53.54,4.97,0.12,0.61,30.36,19.22,9.58,53.75,98.59,3.67,0.16
2023,11,5,2.65,1.42,1.85,0.38,367.95,42.04,44.96,4.03,0.09,0.48,30.96,18.73,7.45,43.88,98.73,3.14,0.27
2023,11,6,3.17,2.15,1.96,0.46,351.52,52.19,53.77,5.45,0.12,0.62,31.09,15.62,6.84,41.19,98.87,2.42,1.2
2023,11,7,3.11,1.84,2.1,0.45,359.38,52.46,55.52,5.55,0.12,0.67,31.29,17.43,6.9,40.88,98.78,2.87,0.23
2023,11,8,3.28,2.49,1.87,0.48,354.7,54.88,55.89,5.91,0.12,0.61,31.28,16.9,8.91,53.69,98.69,3.27,0.67
2023,11,9,2.85,1.62,1.97,0.42,370.51,47.5,50.56,4.94,0.1,0.51,32.06,18.62,8.73,49.81,98.69,2.77,0.34
2023,11,10,1.83,0.88,1.37,0.27,399.46,33.09,53.61,3.81,0.09,0.45,25.71,17.27,9.52,60.31,98.89,3.38,1.48
2023,11,11,3.67,3.47,1.8,0.55,349.38,64.11,64.23,7.27,0.16,0.78,26.72,13.99,8.61,63.19,99.11,4.05,2.26
2023,11,12,4.13,4.93,1.51,0.62,332.49,72.93,73.02,8.55,0.18,0.92,27.83,13.02,8.36,62.69,99.12,3.62,2.18
2023,11,13,3.6,3.38,1.79,0.55,339.21,61.68,62.99,6.94,0.14,0.7,27.21,14.06,7.45,54.31,99.11,2.79,0.28
2023,11,14,2.38,0.93,1.91,0.37,353.16,40.18,48.98,4.25,0.08,0.41,25.08,14.91,6.47,47.5,99.04,2.84,1.51
2023,11,15,2.74,1.92,1.7,0.42,341.52,42.16,43.88,4.22,0.08,0.37,26.76,11.48,6.84,54.62,99.01,2.94,1.75
2023,11,16,2.63,1.72,1.71,0.41,352.76,41.49,44.34,4.16,0.08,0.38,27.31,13.28,7.39,53.25,99.11,2.65,0.11
2023,11,17,2.91,2.29,1.72,0.45,358.11,47.85,50.0,5.07,0.09,-999.0,28.43,13.9,7.69,52.19,99.07,2.61,0.36
2023,11,18,3.04,2.53,1.7,0.48,352.75,50.53,51.13,5.39,0.11,0.53,27.33,14.11,7.26,51.19,98.93,2.59,0.7
2023,11,19,2.89,2.29,1.69,0.45,348.37,47.01,48.47,4.94,0.09,0.48,26.37,15.06,6.59,45.75,99.0,2.85,0.85
2023,11,20,2.75,2.06,1.65,0.44,348.29,43.86,45.95,4.53,0.09,0.45,27.33,15.19,7.02,49.31,99.04,3.01,0.78
